DISTRICT,CAMPUS,CI1,CI1_TOTPTS,CI1_MAXPTS,CI2_TOTPTS,CI2_MAXPTS,CI2_CUT,CI2,CI3_MAXPTS,CI3_TOTPTS,CI3,CI4_STR_WGT,CI4_GRD_WGT,CI4_RHS_WGT,CI4_CRB_WGT,CI4,CPEMALLC,CPEMALLT,CPEMALLP,CPETALLC,CPETECOC,CAMPNAME,REGNNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDLOW,GRDHIGH,GRDTYPE,GRDSPAN,CPETLEPC,CPETLEPP,CPETECOP,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLPAIR,CFLPAIRD,CFLPAIRO,CFLAEATYPE,CFLRTF,PAIRCAMP,PAIRNAME,CI1_CUT,CI3_CUT,CI4_CUT,C_RATING,CI1_MET,CI2_MET,CI3_MET,CI4_MET,CAD_PROGRESS,CAD_GAP,CAD_READ,CAD_MATH,CAD_SCIE,CAD_SOCI,CAD_POST
"001902","001902001",87,237,272,173,600,.,.,800,366,46,13.6,23.5,21,16.1,74,29,223,13,192,61,"CAYUGA H S","REGION 07: KILGORE","001","CAYUGA ISD","07","ANDERSON","09","12","S","09 - 12",1,0.5,31.8,"N","N","N","N","N","N","N","N","N","N"," ","N"," "," ",55,31,57,"M","Y"," ","Y","Y"," ","0","0","0","0","0","0"
"001902","001902041",87,320,369,313,800,28,39,1000,437,44,45,.,.,.,45,22,157,14,124,49,"CAYUGA MIDDLE","REGION 07: KILGORE","001","CAYUGA ISD","07","ANDERSON","06","08","M","06 - 08",0,0,39.5,"N","N","N","N","N","N","N","N","N","N"," ","N"," "," ",55,27,13,"M","Y","Y","Y","Y","1","0","0","0","0","0","0"
"001902","001902103",90,251,278,327,800,33,41,800,374,47,39,.,.,.,39,47,214,22,237,100,"CAYUGA EL","REGION 07: KILGORE","001","CAYUGA ISD","07","ANDERSON","PK","05","E","PK - 05",1,0.4,42.2,"N","N","N","N","N","N","N","N","N","N"," ","N"," "," ",55,28,12,"M","Y","Y","Y","Y","0","1","1","0","0"," ","0"
"001903","001903001",91,470,514,162,600,.,.,800,399,50,12.9,24.7,18.2,16.5,72,57,383,14.9,360,135,"ELKHART H S","REGION 07: KILGORE","001","ELKHART ISD","07","ANDERSON","09","12","S","09 - 12",0,0,37.5,"N","N","N","N","N","N","N","N","N","N"," ","N"," "," ",55,31,57,"M","Y"," ","Y","Y"," ","1","0","0","0","1","0"
"001903","001903041",81,665,818,249,800,28,31,1000,407,41,31,.,.,.,31,36,308,11.7,287,142,"ELKHART MIDDLE","REGION 07: KILGORE","001","ELKHART ISD","07","ANDERSON","06","08","M","06 - 08",0,0,49.5,"N","N","N","N","N","N","N","N","N","N"," ","N"," "," ",55,27,13,"M","Y","Y","Y","Y","0","0","0","0","0","0","0"
"001903","001903101",.,0,0,.,0,33,.,0,.,.,.,.,.,.,.,34,182,18.7,292,204,"ELKHART EL","REGION 07: KILGORE","001","ELKHART ISD","07","ANDERSON","EE","02","E","EE - 02",10,3.4,69.9,"N","N","N","N","N","N","N","Y","N","N"," ","N","001903102","ELKHART INT",.,.,.,"M","P","P","P","P"," "," "," "," "," "," "," "
"001903","001903102",86,585,684,394,800,33,49,800,342,43,38,.,.,.,38,47,312,15.1,268,141,"ELKHART INT","REGION 07: KILGORE","001","ELKHART ISD","07","ANDERSON","03","05","E","03 - 05",2,0.7,52.6,"N","N","N","N","N","N","N","N","N","Y"," ","N"," "," ",55,28,12,"M","Y","Y","Y","Y","1","0","0","0","0"," ","0"
"001904","001904001",79,228,289,145,600,.,.,800,321,40,11.8,25,22.6,9.5,69,50,240,20.8,223,118,"FRANKSTON H S","REGION 07: KILGORE","001","FRANKSTON ISD","07","ANDERSON","09","12","S","09 - 12",1,0.4,52.9,"N","N","N","N","N","N","N","N","N","N"," ","N"," "," ",55,31,57,"M","Y"," ","Y","Y"," ","0","0","0","0","0","0"
"001904","001904041",82,428,520,255,800,28,32,1000,395,40,43,.,.,.,43,33,198,16.7,178,96,"FRANKSTON MIDDLE","REGION 07: KILGORE","001","FRANKSTON ISD","07","ANDERSON","06","08","M","06 - 08",4,2.2,53.9,"N","N","N","N","N","N","N","N","N","N"," ","N"," "," ",55,27,13,"M","Y","Y","Y","Y","0","0","0","0","1","0","1"
"001904","001904102",80,320,400,359,800,33,45,800,330,41,39.5,.,.,.,40,54,314,17.2,361,231,"FRANKSTON EL","REGION 07: KILGORE","001","FRANKSTON ISD","07","ANDERSON","EE","05","E","EE - 05",10,2.8,64,"N","N","N","N","N","N","N","N","N","N"," ","N"," "," ",55,28,12,"M","Y","Y","Y","Y","0","0","1","0","0"," ","0"
