CAMPUS,C20AD12R,C20BKA12R,C20BTA12R,C30AD12R,C30BKA12R,C30BTA12R,C40AD12R,C40BKA12R,C40BTA12R,CA0AD12R,CA0BKA12R,CA0BTA12R,CAHEE12R,CB0AD12R,CB0BKA12R,CB0BTA12R,CE0AD12R,CE0BKA12R,CE0BTA12R,CF0AD12R,CF0BKA12R,CF0BTA12R,CH0AD12R,CH0BKA12R,CH0BTA12R,CI0AD12R,CI0BKA12R,CI0BTA12R,CL0AD12R,CM0AD12R,CM0BKA12R,CM0BTA12R,CR0AD12R,CS0AD12R,CW0AD12R,CW0BKA12R,CW0BTA12R
"001902001",33.3,.,.,.,.,.,.,.,.,23.1,.,.,57.8,38.9,.,.,25.5,.,.,23.8,.,.,21.4,.,.,.,.,.,-1,22.6,.,.,28.1,24,21.1,.,.
"001902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903001",0,.,-1,-1,.,-1,.,.,.,13.5,61.1,11.4,46.7,0,.,0,7.8,-1,6.5,15.2,53.8,19.1,16.7,-1,33.3,.,.,.,.,11.9,80,5.6,1.6,2.7,14.1,71.4,10.1
"001903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001904001",36.4,-1,20,-1,.,-1,.,.,.,25.7,0,6.8,62.5,10.3,.,0,18.7,-1,5.5,25,-1,7.7,29.4,-1,12.5,-1,.,.,-1,26.4,-1,6.3,8.6,5.6,27.8,0,6.9
"001904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001906002",-1,.,.,-1,.,.,.,.,.,18.8,.,.,65,33.3,.,.,14.6,.,.,24.1,.,.,28.6,.,.,.,.,.,-1,13.8,.,.,8.1,0,16.1,.,.
"001906102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001907001",100,-1,-1,35.7,-1,33.3,-1,.,-1,21.6,33.3,17.3,47.2,10.7,16.7,6.3,17.1,34.5,12.6,22.7,36.8,24.2,24.7,31.4,23.2,.,.,.,27.3,20.6,28,12,17,3.4,24.6,42.1,17.6
"001907041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
