CAMPUS,CPCTENGA,CPCTFLAA,CPCTG01A,CPCTG02A,CPCTG03A,CPCTG04A,CPCTG05A,CPCTG06A,CPCTGKGA,CPCTGMEA,CPCTMATA,CPCTSCIA,CPCTSOCA,CPSSTOSA,CPSTEXPA,CPSTKIDR,CPSTTENA,CPSTTOSA,CPSUTOSA
"001902001",12.3,8.9,.,.,.,.,.,.,.,.,10.4,11.5,11.7,65000,15.472727273,9.7571603821,6.0181818182,46378,49813
"001902041",16.9,9.5,.,.,.,.,.,13.6,.,.,15.8,17,17,68296,12.5,11.662273345,5.1363636364,43815,50736
"001902103",.,.,21,19.5,12,13.6,9.6,.,13.3,.,.,.,.,64158,16.625,11.802533416,10.666666667,44524,53126
"001903001",10.5,18.7,.,.,.,.,.,.,.,.,14.4,14.8,10.9,60868,11.916666667,10.842246861,7.9166666667,41403,48861
"001903041",15,.,.,.,.,.,.,14.8,.,.,15.3,15.8,19,66500,11.884615385,12.489775096,8.7692307692,40128,47468
"001903101",.,.,20,20.5,.,.,.,.,14.8,.,.,.,.,59050,14.205281429,15.853315622,12.046424069,40753,36660
"001903102",.,.,.,.,15.7,17.9,20.6,.,.,.,.,.,.,53550,13.203423784,13.125731189,9.7266601546,39436,42458
"001904001",12.4,16.3,.,.,.,.,.,.,.,.,13.3,15.3,13.1,72000,12.161290323,9.1124080623,7.1290322581,41890,61321
"001904041",17.4,.,.,.,.,.,.,17.9,.,.,15.5,.,21,71340,13,16.385813182,6.5555555556,41785,41027
"001904102",.,.,19.4,19.7,16.8,17.7,17,.,18.3,.,.,.,.,65880,17.956521739,16.521731406,11.086956522,43271,46308
"001906002",8.9,15.8,.,.,.,.,.,.,.,.,10.5,13.3,9.5,65000,11,11.278058719,3.0769230769,42917,52541
"001906102",13,.,14.5,15.5,16.1,12.1,18.2,18.3,13.5,9.8,13.5,14.3,14,65000,12.481481481,12.257991602,5.5555555556,41105,52541
"001907001",18.3,18.2,.,.,.,.,.,.,.,.,17.3,18.9,17.7,70479,12.465995102,11.294915561,6.0513615334,46775,53988
"001907041",16.2,20.5,.,.,.,.,.,.,.,.,17.4,18,15.4,74029,10.259351749,11.613366644,4.4768080359,43291,37725
"001907101",.,.,18,.,.,.,.,.,17.7,.,.,.,.,66724,10.182433029,13.924372495,6.0877059375,38304,35973
"001907102",.,.,.,.,.,.,.,.,.,.,.,.,.,74469,8.9090909091,17.909090909,6.6363636364,40009,21249
"001907107",.,.,.,19.5,18.2,.,.,.,.,.,.,.,.,60239,11.216216216,14.445030349,8.2162162162,40273,37024
"001907110",.,.,.,.,.,19.6,19.5,18.5,.,.,.,.,.,59335,10.769230769,13.777535611,6.4423076923,40881,39511
"001908002",15.4,14.4,.,.,.,.,.,.,.,.,13.1,14.5,14.1,64242,12.329931973,11.468257787,5.5522208884,41528,55088
"001908041",13.6,10.6,.,.,.,.,.,.,.,.,12.4,14,20,59065,11.307692308,11.241667872,8.1538461538,39921,46358
"001908101",.,.,.,.,21.1,16.6,19,18.8,.,.,.,.,.,53210,9.3611111111,15.399704565,4.6111111111,38331,41631
"001908102",.,.,18.6,17.8,.,.,.,.,15.9,.,.,.,.,67775,11.887609094,14.035496223,8.2982916789,40600,47629
"001909001",12.8,15.5,.,.,.,.,.,14.2,.,.,13.3,14.7,12.1,67908,12.540726035,11.464371639,9.4526981503,42665,43727
"001909101",.,.,13.5,16,15,15.4,18.1,.,18.3,.,.,.,.,61097,13.295186523,12.095781462,8.9574328125,43690,.
"002901001",15.1,20,.,.,.,.,.,.,.,.,19.1,18.5,15.9,97935,14.801369863,13.842453563,8.5479452055,59568,67330
"002901002",.,.,.,.,.,.,.,.,.,.,.,.,.,73535,14.714285714,6.7951452462,7.2857142857,55517,81805
"002901041",13.9,.,.,.,.,.,.,21.6,.,.,13.1,23,22.7,80759,12.567307692,16.587465256,9.0384615385,55768,60479
"002901101",.,.,.,17.4,18.7,.,.,.,.,.,.,.,.,87215,12.392732498,15.081791696,6.9544241429,53237,69166
"002901104",.,.,.,.,.,20.1,18.3,.,.,.,.,.,.,80000,10.14824567,14.1292226,7.0028722309,51847,63848
"002901105",.,.,25.2,.,.,.,.,.,23.2,.,.,.,.,85001,14.607481854,17.163978965,11.841615485,55189,71697
"003801001",12.3,12.2,.,.,.,.,.,.,.,.,10,14,10,69196,9.5263157895,12.267237041,2.0526315789,43214,39045
"003801103",18,40,16.6,18.3,18.5,19.8,20.1,20.3,16.5,.,13,.,.,34420,8.7104629174,15.551659786,2.9466621765,43198,.
"003902001",16.7,18.4,.,.,.,.,.,.,.,.,16.1,17.9,16.2,68754,13.620689655,15.180090156,8.5689655172,44215,53039
"003902004",.,.,.,.,.,.,.,.,.,.,3,.,.,87020,10,1.1779752289,7.6666666667,51833,47397
"003902041",23.4,.,.,.,.,.,.,23.6,.,.,24.9,20.2,23.7,56530,14.642857143,13.479387094,9.6964285714,44419,48233
"003902101",.,.,18.3,19.7,.,.,.,.,21.6,.,.,.,.,77965,11.511627907,17.171232398,7.2558139535,41783,46466
"003902102",.,.,.,.,19.5,19,20,.,.,.,.,.,.,66849,14.368421053,16.276050677,8.1842105263,43921,41513
"003903001",16,19.2,.,.,.,.,.,.,.,.,16.6,19.4,17.3,67949,13.942779292,12.481426449,10.822888283,44103,49172
"003903004",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903044",18,17.7,.,.,.,.,.,21.4,.,.,20.3,23,23.9,63967,14.867951955,14.16837932,11.256904598,44052,50547
"003903120",.,.,.,.,21.6,17.4,17.5,.,.,.,.,.,.,79771,13.56,13.080668397,9.44,42970,50780
"003903121",.,.,.,.,17.6,18.9,19.9,.,.,.,.,.,.,62036,13.545454545,13.700528494,10.333333333,43727,44985
"003903122",.,.,.,.,17.6,17,18.9,.,.,.,.,.,.,72980,19.916666667,12.6240006,16.458333333,46964,46647
