Name,total_rev,t_fed_rev,t_st_rev,t_loc_rev
"A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY, TX",9206,1172,7858,176
"A+ ACADEMY, TX",11092,1791,9169,132
"ABBOTT ISD, TX",11111,1020,7185,2906
"ABERNATHY ISD, TX",13431,1464,2708,9259
"ABILENE ISD, TX",9414,2081,4422,2911
"ACADEMY ISD, TX",9218,668,5338,3212
"ACADEMY OF ACCELERATED LEARNING INC, TX",8895,1536,7010,349
"ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL, TX",13148,3247,9617,284
"ACADEMY OF DALLAS, TX",9467,1325,8091,51
"ACCELERATED INTERMEDIATE ACADEMY, TX",13066,3091,9864,112
"ADRIAN ISD, TX",14007,1272,8919,3816
"ADVANTAGE ACADEMY, TX",9749,1100,8520,129
"AGUA DULCE ISD, TX",13803,3281,5043,5478
"AL PRICE STATE JUVENILE CORRECTIONAL FACILITY, TX",_,_,_,_
"ALAMO HEIGHTS ISD, TX",15691,1043,1897,12751
"ALBA-GOLDEN ISD, TX",10407,1020,4780,4608
"ALBANY ISD, TX",12299,1051,4236,7012
"ALDINE ISD, TX",9550,1851,4860,2839
"ALEDO ISD, TX",10704,611,1356,8738
"ALICE ISD, TX",9872,2081,4814,2978
"ALIEF ISD, TX",10051,2168,4616,3266
"ALIEF MONTESSORI COMMUNITY SCHOOL, TX",9413,1099,7698,616
"ALLEN ISD, TX",10019,800,2728,6491
"ALPHA CHARTER SCHOOL, TX",8960,1432,7472,57
"ALPHONSO CRUTCH'S-LIFE SUPPORT CENTER, TX",_,_,_,_
"ALPINE ISD, TX",11946,2214,5241,4491
"ALTO ISD, TX",10519,1340,6100,3079
"ALVARADO ISD, TX",9825,1120,2425,6280
"ALVIN ISD, TX",8778,1569,4065,3144
"ALVORD ISD, TX",11594,799,4704,6092
"AMARILLO ISD, TX",8842,1723,4175,2945
"AMBASSADORS PREPARATORY ACADEMY, TX",9102,1329,7177,597
"AMERICAN YOUTHWORKS CHARTER SCHOOL, TX",8623,2951,5660,11
"AMHERST ISD, TX",10978,1573,6287,3118
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH, TX",11619,2183,9160,276
"ANAHUAC ISD, TX",11580,1487,6248,3846
"ANDERSON-SHIRO CISD, TX",12274,820,2282,9172
"ANDREWS ISD, TX",16486,1103,1514,13869
"ANGLETON ISD, TX",10105,1149,3597,5359
"ANNA ISD, TX",10454,804,5913,3738
"ANSON ISD, TX",11742,1636,7578,2528
"ANTHONY ISD, TX",11359,2418,6628,2313
"ANTON ISD, TX",11241,2278,3376,5588
"APPLE SPRINGS ISD, TX",11366,1794,7603,1969
"AQUILLA ISD, TX",10894,654,7240,3000
"ARANSAS COUNTY ISD, TX",13726,1706,2820,9201
"ARANSAS PASS ISD, TX",9426,1794,3504,4128
"ARCHER CITY ISD, TX",12056,790,6599,4667
"ARGYLE ISD, TX",11980,584,2149,9247
"ARISTOI CLASSICAL ACADEMY, TX",8102,567,7272,262
"ARLINGTON CLASSICS ACADEMY, TX",7885,398,7149,337
"ARLINGTON ISD, TX",9175,1828,3222,4125
"ARP ISD, TX",12622,1608,5702,5313
"ARROW ACADEMY, TX",_,_,_,_
"ASPERMONT ISD, TX",13458,1158,2217,10083
"ATHENS ISD, TX",9496,1513,3738,4244
"ATLANTA ISD, TX",11251,2777,4461,4013
"AUBREY ISD, TX",10419,526,4848,5045
"AUSTIN CAN ACADEMY CHARTER SCHOOL, TX",10024,1800,7457,768
"AUSTIN DISCOVERY SCHOOL, TX",7725,272,6939,515
