feature,code,dataset,description
campus,CAMPUS,CAMPRATE,Campus Number
campus_name,CAMPNAME,CAMPRATE,Campus Name
county,COUNTY,CAMPRATE,County Number
county_name,CNTYNAME,CAMPRATE,County Name
district,DISTRICT,CAMPRATE,District Number
district_name,DISTNAME,CAMPRATE,District Name
region,REGION,CAMPRATE,Region Number
region_name,REGNNAME,CAMPRATE,Region Name
rating,C_RATING,CAMPRATE,"Campus 2014 Rating (M=Met Standard, A=Met Alternative Standard, I=Needs Improvement, X/Z=Not Rated, T=Not Rated: Annexation)"
type,GRDTYPE,CAMPRATE,"School Type: E-Elementary, M-Middle, S-Senior, B-Both"
charter,CFLCHART,CAMPRATE,Campus 2014 Flag - Charter School (Y/N)
aec,CFLAEC,CAMPRATE,Campus 2014 Flag - AEC of Choice under AEA Procedures (Y/N)
perEconDisadv,CPETECOP,CAMPRATE,% Econ Disadv
perLEP,CPETLEPP,CAMPRATE,% LEP Students
campus,CAMPUS,CAMPIDX1,Campus Number
rateAll,CA00A001S14R,CAMPIDX1,"Campus 2014 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, All Students All Tests Rate"
rateMath,CA00AM01S14R,CAMPIDX1,"Campus 2014 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, All Students Mathematics Rate"
rateReading,CA00AR01S14R,CAMPIDX1,"Campus 2014 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, All Students Reading/ELA Rate"
rateScience,CA00AC01S14R,CAMPIDX1,"Campus 2014 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, All Students Science Rate"
rateSocialStudies,CA00AS01S14R,CAMPIDX1,"Campus 2014 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, All Students Social Studies Rate"
campus,CAMPUS,CAMPIDX4_IDX,Campus Number
threeYearDropoutAvg,CI4_DROP3AVG,CAMPIDX4_IDX,Campus 2014 Index 4: 3 year average for annual dropout rate for grades 9-12
dropoutRate,CI4_DROPRATE,CAMPIDX4_IDX,Campus 2014 Index 4: Dropout rate
rhsp_dapRate,CI4_RHSRATE_A,CAMPIDX4_IDX,Campus 2014 Index 4: Annual RSHP/DAP rate
campus,CAMPUS,CAMPDDES,Campus Number
attendanceRate,CA0AT13R,CAMPDDES,Campus 2013 Attendance: All Students Rate
campus,CAMPUS,CSTAF,Campus Number
adminBaseSalary,CPSSTOSA,CSTAF,Campus 2013 Staff: School Admin Total Base Salary Average
teacherBaseSalary,CPSTTOSA,CSTAF,Campus 2013 Staff: Teacher Total Base Salary Average
teacherStudentRatio,CPSTKIDR,CSTAF,Campus 2013 Staff: Teacher Student Ratio
avgTeacherExp,CPSTEXPA,CSTAF,Campus 2013 Staff: Teacher Experience Average
campus,CAMPUS,CSTUD,Campus Number
perMobility,CPEMALLP,CSTUD,Campus 2013 Student: 2012 Mobility Percent
perSPED,CPETSPEP,CSTUD,Campus 2013 Student: Special Ed Percent
perGT,CPETGIFP,CSTUD,Campus 2013 Student: Gifted & Talented Percent
perAA,CPETBLAP,CSTUD,Campus 2013 Student: African American Percent
perHisp,CPETHISP,CSTUD,Campus 2013 Student: Hispanic Percent
perAtRisk,CPETRSKP,CSTUD,Campus 2013 Student: At Risk Percent
perNonEdDisadv,CPETNEDP,CSTUD,Campus 2013 Student: Non-Educationally Disadv Percent
studentCount,CPETALLC,CSTUD,Campus 2013 Student: All Students Count
