campus,campus_name,county,county_name,district,district_name,region,region_name,rating,type,charter,aec,perEconDisadv,perLEP,rateAll,rateMath,rateReading,rateScience,rateSocialStudies,threeYearDropoutAvg,dropoutRate,rhsp_dapRate,attendanceRate,adminBaseSalary,teacherBaseSalary,teacherStudentRatio,avgTeacherExp,perMobility,perSPED,perGT,perAA,perHisp,perAtRisk,perNonEdDisadv,studentCount,perAP_IB,perAP_IB_passing,perEnrolled_IHE,classifier
1902041,CAYUGA MIDDLE,1,ANDERSON,1902,CAYUGA ISD,7,REGION 07: KILGORE,M,M,N,N,39.5,0.0,87.0,95.0,91.0,74.0,63.0,,,,96.6,68296.0,43815.0,11.662273345,12.5,13.3,15.1,11.6,6.2,3.4,26.0,63.7,146.0,,,,1
1903041,ELKHART MIDDLE,1,ANDERSON,1903,ELKHART ISD,7,REGION 07: KILGORE,M,M,N,N,49.5,0.0,81.0,78.0,86.0,78.0,71.0,,,,97.1,66500.0,40128.0,12.489775095999999,11.884615385,13.8,9.9,4.9,4.6,8.8,33.8,51.8,284.0,,,,1
1904041,FRANKSTON MIDDLE,1,ANDERSON,1904,FRANKSTON ISD,7,REGION 07: KILGORE,M,M,N,N,53.9,2.2,82.0,82.0,88.0,84.0,68.0,,,,96.4,71340.0,41785.0,16.385813182,13.0,14.1,5.9,0.0,7.7,9.5,28.4,45.0,169.0,,,,1
1907041,PALESTINE J H,1,ANDERSON,1907,PALESTINE ISD,7,REGION 07: KILGORE,M,M,N,N,71.2,2.7,67.0,76.0,72.0,63.0,54.0,,,,96.4,74029.0,43291.0,11.613366644000001,10.259351749,23.1,8.6,4.1,26.0,39.7,55.5,27.3,443.0,,,,1
1908041,WESTWOOD J H,1,ANDERSON,1908,WESTWOOD ISD,7,REGION 07: KILGORE,M,M,N,N,67.1,3.3,74.0,82.0,81.0,68.0,52.0,,,,96.3,59065.0,39921.0,11.241667872,11.307692308,19.1,12.4,5.0,19.1,16.2,27.4,41.1,241.0,,,,1
2901041,ANDREWS MIDDLE,2,ANDREWS,2901,ANDREWS ISD,18,REGION 18: MIDLAND,M,M,N,N,40.8,8.0,69.0,70.0,72.0,66.0,67.0,0.0,,,95.2,80759.0,55768.0,16.587465255999998,12.567307692,12.6,5.4,5.0,2.4,62.9,36.4,61.5,777.0,,,,1
3902041,HUDSON MIDDLE,3,ANGELINA,3902,HUDSON ISD,7,REGION 07: KILGORE,M,M,N,N,53.8,4.8,89.0,93.0,92.0,87.0,75.0,,,,97.1,56530.0,44419.0,13.479387094000002,14.642857142999999,12.0,9.3,10.4,4.7,22.4,30.3,46.2,664.0,,,,1
3903044,LUFKIN MIDDLE,3,ANGELINA,3903,LUFKIN ISD,7,REGION 07: KILGORE,M,M,N,N,72.1,11.0,79.0,85.0,81.0,79.0,65.0,,,,97.0,63967.0,44052.0,14.16837932,14.867951955,10.8,14.2,10.3,26.5,39.0,38.5,26.3,1749.0,,,,1
3904041,HUNTINGTON MIDDLE,3,ANGELINA,3904,HUNTINGTON ISD,7,REGION 07: KILGORE,M,M,N,N,47.9,0.5,73.0,82.0,81.0,51.0,44.0,,,,95.5,75960.0,41906.0,14.124105584,11.333333332999999,12.9,11.6,7.8,1.4,8.0,39.6,53.3,424.0,,,,1
3905041,DIBOLL J H,3,ANGELINA,3905,DIBOLL ISD,7,REGION 07: KILGORE,M,M,N,N,72.1,11.8,73.0,84.0,81.0,65.0,46.0,,,,96.6,66148.0,43679.0,10.702956257,11.814814815,8.1,11.6,5.4,11.6,55.6,45.5,24.2,277.0,,,,1
