dist_number,city,dist_name,rating,dropout_rate,ms_all,ms_math,ms_reading
'001902,ANDERSON,CAYUGA ISD,R,0.9,74,91,81
'001903,ANDERSON,ELKHART ISD,A,0,81,86,91
'001904,ANDERSON,FRANKSTON ISD,A,0,81,86,90
'001906,ANDERSON,NECHES ISD,R,0,88,88,91
'001907,ANDERSON,PALESTINE ISD,A,0,65,70,80
'001908,ANDERSON,WESTWOOD ISD,A,0.3,79,84,86
'001909,ANDERSON,SLOCUM ISD,E,0.5,77,80,93
'002901,ANDREWS,ANDREWS ISD,A,0.6,74,85,80
'003801,ANGELINA,PINEYWOODS COMMUNITY ACADEMY,A,0,69,78,78
'003902,ANGELINA,HUDSON ISD,A,0.7,90,95,93
'003903,ANGELINA,LUFKIN ISD,A,2.3,83,88,92
'003904,ANGELINA,HUNTINGTON ISD,R,0.6,77,88,83
'003905,ANGELINA,DIBOLL ISD,A,0.6,78,87,86
'003906,ANGELINA,ZAVALLA ISD,R,0,69,85,74
'003907,ANGELINA,CENTRAL ISD,R,0.5,80,84,88
'004901,ARANSAS,ARANSAS COUNTY ISD,R,1.1,70,77,79
'005902,ARCHER,HOLLIDAY ISD,A,0,85,92,90
'005904,ARCHER,WINDTHORST ISD,A,0,86,95,88
'006902,ARMSTRONG,CLAUDE ISD,A,1.7,82,82,95
'007901,ATASCOSA,CHARLOTTE ISD,L,0,38,54,48
'007902,ATASCOSA,JOURDANTON ISD,A,2.1,75,79,88
'007904,ATASCOSA,LYTLE ISD,A,1.3,52,57,73
'007905,ATASCOSA,PLEASANTON ISD,A,1.1,87,90,91
'007906,ATASCOSA,POTEET ISD,A,1.2,67,77,78
'008901,AUSTIN,BELLVILLE ISD,A,0.4,80,87,89
'008902,AUSTIN,SEALY ISD,A,1.8,73,82,84
'008903,AUSTIN,BRAZOS ISD,R,1,88,92,94
'009901,BAILEY,MULESHOE ISD,R,0.7,83,94,87
'010901,BANDERA,MEDINA ISD,A,0,81,88,92
'010902,BANDERA,BANDERA ISD,R,1.7,80,87,87
'011901,BASTROP,BASTROP ISD,A,1.8,74,80,85
'011902,BASTROP,ELGIN ISD,A,0.2,51,58,73
'011904,BASTROP,SMITHVILLE ISD,A,0.8,72,81,81
'011905,BASTROP,MCDADE ISD,A,0,83,92,83
'012901,BAYLOR,SEYMOUR ISD,R,0,89,89,97
'013901,BEE,BEEVILLE ISD,A,1.4,58,64,78
'013902,BEE,PAWNEE ISD,R,0,63,75,75
'013903,BEE,PETTUS ISD,R,0.8,71,76,90
'013905,BEE,SKIDMORE-TYNAN ISD,E,0.5,79,81,91
'014804,BELL,ORENDA CHARTER SCHOOL,A,1.2,38,50,75
'014901,BELL,ACADEMY ISD,R,0.4,80,84,92
'014902,BELL,BARTLETT ISD,A,2.6,70,83,74
'014903,BELL,BELTON ISD,A,0.1,81,86,90
'014905,BELL,HOLLAND ISD,R,0,71,91,77
'014906,BELL,KILLEEN ISD,R,1.3,71,77,85
'014907,BELL,ROGERS ISD,A,0.7,77,80,91
'014908,BELL,SALADO ISD,R,0.3,90,97,92
'014909,BELL,TEMPLE ISD,A,2.8,55,63,74
'014910,BELL,TROY ISD,R,0,85,88,90
'015802,BEXAR,GEORGE GERVIN ACADEMY,1,1.6,56,56,67
'015803,BEXAR,HIGGS CARTER KING GIFTED & TALENTE,1,5.9,78,94,78
'015805,BEXAR,NEW FRONTIERS CHARTER SCHOOL,A,0,58,66,73
'015806,BEXAR,SCHOOL OF EXCELLENCE IN EDUCATION,A,9.5,73,77,87
'015809,BEXAR,BEXAR COUNTY ACADEMY,L,0,45,60,70
'015815,BEXAR,RADIANCE ACADEMY OF LEARNING,1,1.6,57,66,78
'015819,BEXAR,SHEKINAH RADIANCE ACADEMY,1,2.6,43,49,68
'015820,BEXAR,SAN ANTONIO SCHOOL FOR INQUIRY & C,1,0,81,88,88
'015822,BEXAR,JUBILEE ACADEMIC CENTER,A,0.2,65,71,84
'015824,BEXAR,SAN ANTONIO PREPARATORY ACADEMY,L,6.8,59,68,79
'015825,BEXAR,LIGHTHOUSE CHARTER SCHOOL,L,0,54,62,62
'015826,BEXAR,KIPP SAN ANTONIO,A,0.3,76,83,83
'015827,BEXAR,SCHOOL OF SCIENCE AND TECHNOLOGY,A,0,82,88,89
'015828,BEXAR,HARMONY SCIENCE ACAD (SAN ANTONIO),A,0,81,84,97
'015830,BEXAR,BROOKS ACADEMY OF SCIENCE AND ENGI,A,0.5,59,63,81
'015831,BEXAR,SCHOOL OF SCIENCE AND TECHNOLOGY D,A,0,81,88,84
'015832,BEXAR,CITY CENTER HEALTH CAREERS,L,0,64,64,82
'015901,BEXAR,ALAMO HEIGHTS ISD,A,0.5,85,87,93
'015904,BEXAR,HARLANDALE ISD,A,2.2,69,76,83
'015905,BEXAR,EDGEWOOD ISD,A,3.5,50,58,68
'015906,BEXAR,RANDOLPH FIELD ISD,R,0.2,88,90,98
'015907,BEXAR,SAN ANTONIO ISD,A,4.1,60,67,77
'015908,BEXAR,SOUTH SAN ANTONIO ISD,A,2.7,62,72,76
'015909,BEXAR,SOMERSET ISD,A,3.2,74,81,85
